form	lemma	POS	morph
རྣམ་དག་	རྣམ་དག་	ADJ
གཙུག་	གཙུག་	NOUN
གི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
ལ་	ལ་	ADP
ཇོ་བོ་	ཇོ་བོ་	NOUN
ས་	གིས་	PART
གནང་བ་	གནང་བ་	NO_POS
འི་	གི་	PART
བློ་སྦྱོང་	བློ་སྦྱོང་	OTHER
ལགས་སོ་	ལགས་སོ་	NO_POS
། །		PUNCT
ཤེས་བྱ་	ཤེས་བྱ་	VERB
འི་	གི་	PART
མཁའ་	མཁའ་	NOUN
ལ་ཚད་	ལ་ཚད་	NO_POS
ཡོད་	ཡོད་	VERB
མ་	མ་	PART
མཆིས་	མཆིས་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
སྟོང་	སྟོང་	NUM
དང་	དང་	NO_POS
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
གཉིས་	གཉིས་	NUM
སུ་	སུ་	ADP
མེད་པ་	མེད་པ་	VERB
ཡི་	ཡི་	ADP
། །		PUNCT
མར་མེ་མཛད་པ་	མར་མེ་མཛད་པ་	PROPN
ལ་སོགས་	ལ་སོགས་	NO_POS
བླ་མ་	བླ་མ་	NOUN
ལ་	ལ་	ADP
། །		PUNCT
སྒོ་གསུམ་	སྒོ་གསུམ་	OTHER
དང་བ་	དང་བ་	NOUN
འི་	གི་	PART
ཡིད་	ཡིད་	NOUN
ཀྱི་	གི་	PART
གུས་ཕྱག་	གུས་ཕྱག་	NO_POS
འཚལ་	འཚལ་	VERB
། །		PUNCT
འགྲོ་མགོན་	འགྲོ་མགོན་	NOUN
བོད་	བོད་	PROPN
དུ་	ལ་	PART
བྱོན་	བྱོན་	VERB
ཁ་	ཁ་	PRON
ར་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
ནི་	ནི་	NO_POS
། །		PUNCT
བརྩེ་བ་	བརྩེ་བ་	VERB
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
ནོར་བུ་	ནོར་བུ་	NOUN
བདག་	བདག་	PRON
ལ་	ལ་	ADP
གནང་	གནང་	NO_POS
། །		PUNCT
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
འདི་	འདི་	DET
ལ་	ལ་	ADP
རྒྱུ་རྐྱེན་	རྒྱུ་རྐྱེན་	OTHER
མ་	མ་	PART
མཆིས་	མཆིས་	VERB
བུ་	བུ་	NOUN
། །		PUNCT
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
སུ་	སུ་	ADP
འཛིན་	འཛིན་	VERB
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
སུ་ཞིག་	སུ་ཞིག་	NO_POS
འཛིན་	འཛིན་	VERB
། །		PUNCT
ཆོ་	ཆོ་	NOUN
རྣམས་	རྣམས་	DET
དེ་བཞིན་	དེ་བཞིན་	OTHER
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
གྱིས་	གིས་	PART
ཤིག་	ཅིག་	PART
བུ་	བུ་	NOUN
། །		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	ADP
གོལ་	གོལ་	NO_POS
ན་	ན་	ADP
གོལ་ས་	གོལ་ས་	VERB
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
མང་	མང་	VERB
། །		PUNCT
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
མཉམ་པ་	མཉམ་པ་	VERB
ར་	ལ་	PART
གཞོག་	གཞོག་	NO_POS
ཅིག་	ཅིག་	PART
བུ་	བུ་	NOUN
། །		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
མཁའ་	མཁའ་	NOUN
ལ་	ལ་	ADP
འཇའ་ཚོན་	འཇའ་ཚོན་	NOUN
འཁྲིགས་པ་	འཁྲིགས་པ་	VERB
ན་	ན་	ADP
། །		PUNCT
ཡོད་	ཡོད་	VERB
ཡོད་	ཡོད་	VERB
ལྟ་བུ་	ལྟ་བུ་	NOUN
ར་	ལ་	PART
མཛེ་	མཛེ་	VERB
ཤིང་	ཅིང་	PART
འཆར་	འཆར་	NO_POS
རོ་	རོ་	NOUN
བུ་	བུ་	NOUN
། །		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	ADP
རྒྱུ་རྐྱེན་	རྒྱུ་རྐྱེན་	OTHER
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
སུ་	སུ་	ADP
ས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
ལགས་	ལགས་	AUX
མཆིས་	མཆིས་	VERB
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
འཇའ་ཚོན་	འཇའ་ཚོན་	NOUN
མཁའ་	མཁའ་	NOUN
ལ་	ལ་	ADP
རྒྱུ་	རྒྱུ་	NOUN
ཞིང་	ཞིང་	ADP
མཁའ་	མཁའ་	NOUN
ལ་	ལ་	ADP
ཡལ་	ཡལ་	NO_POS
། །		PUNCT
འདི་	འདི་	DET
ལ་	ལ་	ADP
རྒྱུ་རྐྱེན་	རྒྱུ་རྐྱེན་	OTHER
ཡོད་པ་	ཡོད་པ་	VERB
ར་	ལ་	PART
སུ་	སུ་	ADP
ས་	གིས་	PART
མ་	མ་	PART
མཐོང་	མཐོང་	VERB
། །		PUNCT
འདི་	འདི་	DET
ཡང་	ཀྱང་	PART
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
ལགས་	ལགས་	AUX
མཆིས་	མཆིས་	VERB
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
བརྟགས་	བརྟགས་	VERB
ན་	ན་	ADP
འཇའ་ཚོན་	འཇའ་ཚོན་	NOUN
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
རུ་	ལ་	PART
། །		PUNCT
ཐ་དད་	ཐ་དད་	ADJ
རྣམ་དབྱེ་	རྣམ་དབྱེ་	OTHER
འདུག་	འདུག་	VERB
གམ་	གམ་	PART
མཁས་པ་	མཁས་པ་	VERB
འི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
ཡེ་ནས་	ཡེ་ནས་	NO_POS
སྟོང་པ་	སྟོང་པ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
ལ་	ལ་	ADP
། །		PUNCT
